x;y;z;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
0;0;0;-0.08;0.045;0.005;0;0;0;0;0;0;-0.291;-0.006;0.031;-0.006;0.003;-0.286;0;0;0;0;0.257;0;0.403;0.666;-0.993;0.872;0.79;0.143;-0.044;0;0.248;-0.129;0.053;0.925;-0.21;0.14;0.17;0;0;0;-0.789;0.175;0.008;0.737;-0.031;-0.012;0.009;0;0;0.126;-0.157;-0.846;0.233;0.007;-0.01;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.081;0.047;0.003;0;0;0;0;0;0;-0.288;0;0.028;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.394;0.73;-0.954;0.891;0.726;0.155;-0.124;0;0.253;-0.14;0.066;0.928;-0.227;0.143;0.176;0;0;0;-0.785;0.177;-0.024;0.736;-0.041;-0.013;0.009;0;0;0.116;-0.153;-0.871;0.278;0;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.081;0.048;0.002;0;0;0;0;0;0;-0.285;0.003;0.026;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.39;0.759;-0.897;0.905;0.668;0.163;-0.17;0;0.256;-0.147;0.067;0.93;-0.235;0.145;0.181;0;0;0;-0.783;0.177;-0.049;0.735;-0.046;-0.013;0.009;0;0;0.11;-0.15;-0.899;0.295;-0.003;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.082;0.05;0;0;0;0;0;0;0;-0.281;0.008;0.023;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.387;0.778;-0.793;0.923;0.585;0.172;-0.213;0;0.258;-0.154;0.064;0.933;-0.24;0.147;0.186;0;0;0;-0.78;0.178;-0.079;0.733;-0.05;-0.013;0.009;0;0;0.104;-0.147;-0.939;0.273;0;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.082;0.051;0;0;0;0;0;0;0;-0.28;0.009;0.023;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.387;0.782;-0.76;0.927;0.56;0.175;-0.222;0;0.259;-0.155;0.062;0.934;-0.24;0.148;0.188;0;0;0;-0.779;0.178;-0.087;0.733;-0.051;-0.013;0.009;0;0;0.102;-0.147;-0.95;0.261;0.001;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.083;0.053;-0.002;0;0;0;0;0;0;-0.274;0.015;0.02;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.389;0.789;-0.608;0.942;0.452;0.187;-0.248;0;0.262;-0.161;0.049;0.938;-0.239;0.151;0.193;0;0;0;-0.777;0.177;-0.119;0.731;-0.053;-0.013;0.009;0;0;0.095;-0.143;-0.987;0.194;0.004;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.083;0.055;-0.003;0;0;0;0;0;0;-0.27;0.019;0.019;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.388;0.792;-0.419;0.945;0.328;0.192;-0.245;0;0.263;-0.165;0.027;0.94;-0.22;0.152;0.196;0;0;0;-0.775;0.177;-0.094;0.73;-0.06;-0.013;0.008;0;0;0.09;-0.141;-0.979;0.144;0.004;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.083;0.056;-0.004;0;0;0;0;0;0;-0.265;0.023;0.018;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.4;0.759;-0.22;0.945;0.21;0.205;-0.285;0;0.265;-0.167;0.016;0.942;-0.198;0.154;0.198;0;0;0;-0.773;0.175;-0.022;0.728;-0.072;-0.013;0.008;0;0;0.086;-0.14;-0.939;0.109;0.002;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.083;0.057;-0.005;0;0;0;0;0;0;-0.262;0.026;0.017;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.422;0.69;0.061;0.928;0.042;0.223;-0.337;0;0.266;-0.167;0.007;0.943;-0.189;0.155;0.2;0;0;0;-0.772;0.175;-0.014;0.725;-0.078;-0.013;0.008;0;0;0.084;-0.139;-0.925;0.089;-0.001;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
0;0;0;-0.083;0.058;-0.006;0;0;0;0;0;0;-0.258;0.03;0.016;-0.007;0.003;-0.286;0;0;0;0;0.257;0;0.444;0.619;0.248;0.905;-0.059;0.236;-0.344;0;0.267;-0.167;-0.009;0.945;-0.181;0.156;0.2;0;0;0;-0.77;0.174;-0.034;0.725;-0.084;-0.013;0.008;0;0;0.081;-0.138;-0.919;0.08;-0.004;-0.011;0.011;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
